task_id,arrival_time,duration,deadline,cpu_req,priority,status
0,134.38991332408906,5.705900632101925,144.82095209574416,0.059997550041212135,1,pending
1,154.0698917584848,41.50153624371919,209.45818023481553,0.2954006386077092,0,pending
2,201.12112368499328,50.822463468208035,332.1813276721963,0.055523171283810645,1,pending
3,255.6376674202971,51.92813673117388,335.0380600537144,0.019928464073465043,1,pending
4,284.69503424360295,5.0,299.1488275106531,0.05522776074262181,0,pending
5,348.7576961308136,74.8916057418988,475.3772642856531,0.3571889944092542,1,pending
6,354.25619165037506,70.28004982834084,555.44104868786,0.10282252504307218,1,pending
7,439.5089405150914,60.28544143690936,615.0226853958727,0.05887128833812215,1,pending
8,442.2817112830007,16.28365128811049,482.9034343540802,0.053578366069689326,1,pending
9,466.0630385396644,42.049466289445405,522.1152235715792,0.11119262476553718,1,pending
10,472.1068354067375,5.0,480.7467466946676,0.044887385734023295,0,pending
11,484.3162042825087,54.77787298909152,569.1304864175274,0.24788933249122652,1,pending
12,595.6288363245995,47.39059899374531,695.0538154123306,0.03995527545235913,1,pending
13,622.026973417803,7.72026415269749,637.7521043573412,0.01,1,pending
14,696.2675538714166,22.73702003916075,762.5460388248912,0.025210773960911235,1,pending
15,702.6512018735492,25.553430344543006,777.5534587958565,0.2954774094523242,1,pending
16,778.6477367038179,56.989719311529775,931.341994206716,0.05544744269448812,0,pending
17,833.6898173487966,66.38694754597837,1025.8410369403837,0.10271508557513429,1,pending
18,922.7983903699986,13.135204206626355,948.3544042928772,0.06101634438192591,1,pending
19,968.0081679086672,7.16365043885341,984.579176014895,0.12403500779761656,1,pending
20,988.4710376503433,18.629544096227534,1014.0404911096134,0.2391033257158296,1,pending
21,999.9221193507597,5.768740976723369,1008.0341902802364,0.14635492311108675,1,pending
22,1001.6357094587489,15.257063232907019,1021.586688380803,0.06590797816913258,2,pending
23,1162.2594463041823,44.32340239790469,1264.5334177577593,0.06759746492072367,0,pending
24,1193.0274477329594,6.388549653859431,1207.9589711678748,0.3277940613243659,0,pending
25,1200.64852657777,31.17687157879807,1283.6796108205397,0.11057358728678902,1,pending
26,1206.2562007092477,37.97237264782132,1313.0803905421924,0.22253910344549216,0,pending
27,1216.727741524295,72.18972551553622,1359.378341307083,0.35185560716234837,1,pending
28,1239.2167812413963,29.15150567751002,1319.8524048338622,0.01,0,pending
29,1314.4044183571204,32.17539009641966,1402.1259585917135,0.02871076922508465,0,pending
30,1314.5127407128648,32.522376232123406,1401.8326698538037,0.050940939004776184,0,pending
31,1374.0782577671264,15.588238669141232,1408.764144790183,0.10983550428000256,1,pending
32,1387.2293598196227,5.0,1394.1174087023915,0.015881860730096706,1,pending
33,1405.2810781150797,9.125236076079274,1420.2697839358996,0.20334870276260006,1,pending
34,1418.5446032213288,25.511184517880583,1484.2399073955244,0.010868839928301566,0,pending
35,1489.9558901523994,19.92013379876547,1525.4694258584445,0.2845073207625992,1,pending
36,1528.3820954874236,36.908390157017834,1630.4214390952675,0.01,0,pending
37,1568.7967393037632,38.2773312995616,1651.9356783434937,0.2614454206292805,1,pending
38,1626.2657762441631,21.227157007440603,1672.3791498973353,0.01,1,pending
39,1692.3041459506335,33.12589338607617,1748.3416223317272,0.01,1,pending
40,1754.1455886716328,5.0,1768.761159152327,0.06371491714416272,0,pending
41,1812.4374797551711,60.765793940719355,1990.3244207831278,0.43041038332521586,1,pending
42,1853.103291742489,64.04234677649438,2033.1083353491092,0.0511641245047794,0,pending
43,1883.535781768542,5.0,1895.2891448273333,0.1004455363995909,1,pending
44,1936.5140514311393,5.0,1948.611923275341,0.12412526792733575,1,pending
45,1956.7495659960518,59.64799352798397,2093.7330222142664,0.12797844030172445,1,pending
46,2003.1048927496859,17.434852803700696,2038.5502401114697,0.4631153937192018,2,pending
47,2167.5242332481375,5.0,2177.5402026153774,0.15999172810884518,1,pending
48,2324.208474598618,17.02244252167059,2353.3132447431954,0.050816280823122686,1,pending
49,2344.4542245551306,7.983725527506996,2358.976826958815,0.3079781132586393,1,pending
50,2407.1140214804113,21.109537690619938,2441.5738579823446,0.07280456119935576,1,pending
51,2492.347168318844,5.0,2506.483489976493,0.07868743136661575,1,pending
52,2670.418099284301,117.95331204451395,2885.750102604081,0.2715093346372797,0,pending
53,2672.860070523531,8.88696817534541,2684.742615345778,0.01,1,pending
54,2673.225125835803,27.954958196195307,2722.4491278112437,0.08791857495452056,1,pending
55,2678.3973362062666,51.219302012985274,2762.734759973367,0.05536689804234775,0,pending
56,2739.801221870285,55.99504360419856,2856.6613151635956,0.26374739870348834,1,pending
57,2785.2139295863676,14.074967581444742,2812.1965709021133,0.02743316267784894,1,pending
58,2805.945152350684,74.43192852833035,3015.412278257294,0.6223234185569687,2,pending
59,2912.311892571027,15.447375269968667,2953.610556867498,0.08040965155785744,1,pending
60,2939.7191762144425,18.17051056438663,2988.670511841255,0.029286724316225476,1,pending
61,3000.9756706074986,7.465802180983444,3014.1640910350943,0.23280207810299347,1,pending
62,3010.857677387101,13.987594502469832,3036.6606317800583,1.0,1,pending
63,3037.6768054069744,14.525809865896772,3061.586099107655,0.14641155568451134,0,pending
64,3046.552723667841,48.56646386272773,3110.9175717170556,0.1447009628921889,0,pending
65,3142.865891950492,5.0,3153.6028831093076,0.044557182004872554,1,pending
66,3151.780835669149,10.986251478959034,3174.2012781491107,0.39281534810909496,0,pending
67,3171.693200455933,37.20534194104779,3279.0798001455037,0.1618086576447527,1,pending
68,3204.141787475801,5.0,3212.53205425193,0.35430660491412624,1,pending
69,3303.6393302231463,30.93804703329764,3395.4314337383157,0.025434023105538387,1,pending
70,3357.1783585523517,10.561192510819065,3376.7404518666726,0.05930297011991807,2,pending
71,3375.2610549672113,8.710229332281948,3392.6661687193928,0.15420830795242824,1,pending
72,3394.2923550002183,11.18660909831014,3409.321115315298,0.18492402959351426,2,pending
73,3489.0991843785887,18.43099808362209,3529.678125849743,0.09115573581512991,0,pending
74,3514.422501633816,66.31590712263235,3660.6982165881527,0.3851327487876963,0,pending
75,3596.0003083591423,21.435742325753022,3633.0125191660727,0.06587870690779171,2,pending
76,3669.136780529373,22.152452152513177,3716.8527413045517,0.1743947384370706,1,pending
77,3702.095848384965,7.627220523600115,3720.293765172486,0.2261595146228675,0,pending
78,3715.9857027509984,33.865216872260916,3785.994947179135,0.7183756929669435,1,pending
79,3731.3731953847214,15.566397133791014,3753.0394892523827,0.25847854406530657,1,pending
80,3741.993893213146,7.155377269253363,3759.7672352109485,0.029580492248767257,1,pending
81,3757.855925423025,5.0,3765.294112857126,0.0709785925231904,1,pending
82,3758.684560821807,5.0,3766.463672579928,0.21698710804683724,1,pending
83,3779.4249918870482,44.07510137360601,3897.1706912086847,0.275974182625645,1,pending
84,3803.3715328264416,16.364370012863198,3848.5632034156984,0.1119622186617323,1,pending
85,3820.873547768593,19.080166298862142,3868.447374095452,0.03608512266476786,1,pending
86,3917.1449064793965,46.74771492930405,4009.379947252512,0.02042372548126553,1,pending
87,3955.142617821303,5.0,3962.626778515923,0.33187427851496026,1,pending
88,4053.408530418061,141.109374571579,4313.410009082676,0.051827158052012746,0,pending
89,4059.665758442137,7.406607696378266,4079.536721506133,0.03520794743476991,1,pending
90,4062.704082191433,77.34625687772024,4248.43028735554,0.34114016353052784,1,pending
91,4070.4891191060397,24.223752667809357,4129.673166984872,0.14492384868088087,0,pending
92,4079.2930427650554,53.370413390084956,4223.635965486369,0.13366400523982352,0,pending
93,4155.826772259215,30.031583251459566,4241.69838037807,0.39860317225917924,0,pending
94,4210.096920972156,32.7416339979297,4249.843879697827,0.016541087458889214,0,pending
95,4261.80511890277,58.54570792314645,4340.987334655768,0.03602804165864019,1,pending
96,4262.753807759994,7.862249717980754,4280.683059590535,0.1289273079598285,0,pending
97,4303.660937025288,10.250107672008346,4319.791536163515,0.21692705739944204,0,pending
98,4348.60552642085,82.21231584193154,4455.074604455136,0.021438670501308016,1,pending
99,4368.472742083851,30.83041399612354,4450.11151226241,0.23494862342007938,1,pending
100,4389.6449534924095,38.155041583558265,4496.378734303996,0.03676023750974531,0,pending
101,4429.511191628468,5.0,4441.04945835929,0.2591284325231543,0,pending
102,4436.71306681123,26.17134319891491,4513.483966589092,0.23812538517294468,2,pending
103,4439.0351082494535,36.19846889637425,4486.399469930023,0.017100032717126873,1,pending
104,4461.596004142822,46.09087015866513,4533.351573612149,0.01,2,pending
105,4474.593423538314,72.49300781243095,4677.823922560373,0.036977915221993625,0,pending
106,4485.330115680355,45.451971272623055,4543.797867537015,0.05033307957108263,0,pending
107,4501.6107419284035,29.318419363744926,4577.068208511049,0.01,0,pending
108,4559.7227059994575,11.84504193667508,4578.506834189678,1.0,0,pending
109,4610.025585156563,33.349305743006326,4674.396702412103,0.011800095917669309,1,pending
110,4662.612947348734,27.38915667293986,4727.116127180765,0.25425421292885675,2,pending
111,4696.347136765645,10.214636478998093,4726.649576470736,0.08682973696763452,2,pending
112,4701.192566950677,10.5269109619759,4720.427431309876,0.1099660735609017,1,pending
113,4721.217319568156,82.79683997669554,4930.137413168017,0.12909635281939605,1,pending
114,4749.173426455758,5.331140894699217,4757.0039979076055,0.10463260341247879,1,pending
